customer_id: CUST00001, customer_name: Metro Wholesale, customer_type: Dedicated, credit_terms_days: 60, primary_freight_type: General, account_status: Inactive, contract_start_date: 2020-02-20, annual_revenue_potential: 985117
customer_id: CUST00014, customer_name: Elite Foods, customer_type: Contract, credit_terms_days: 45, primary_freight_type: Consumer Goods, account_status: Active, contract_start_date: 2021-04-17, annual_revenue_potential: 4578681
customer_id: CUST00015, customer_name: First Group, customer_type: Spot, credit_terms_days: 15, primary_freight_type: Automotive, account_status: Active, contract_start_date: 2020-08-27, annual_revenue_potential: 3816255
customer_id: CUST00016, customer_name: United Industries, customer_type: Dedicated, credit_terms_days: 60, primary_freight_type: Food/Beverage, account_status: Active, contract_start_date: 2020-03-19, annual_revenue_potential: 3055508
customer_id: CUST00017, customer_name: Superior Supply Chain, customer_type: Dedicated, credit_terms_days: 60, primary_freight_type: Automotive, account_status: Active, contract_start_date: 2021-03-02, annual_revenue_potential: 2743711
customer_id: CUST00018, customer_name: ABC Retail, customer_type: Dedicated, credit_terms_days: 60, primary_freight_type: General, account_status: Active, contract_start_date: 2021-06-12, annual_revenue_potential: 4714416
customer_id: CUST00019, customer_name: American Supply Chain, customer_type: Contract, credit_terms_days: 30, primary_freight_type: Retail, account_status: Active, contract_start_date: 2020-12-28, annual_revenue_potential: 2823396
customer_id: CUST00020, customer_name: First Corp, customer_type: Contract, credit_terms_days: 30, primary_freight_type: Consumer Goods, account_status: Inactive, contract_start_date: 2021-11-09, annual_revenue_potential: 3218209
customer_id: CUST00021, customer_name: Elite Industries, customer_type: Dedicated, credit_terms_days: 60, primary_freight_type: Consumer Goods, account_status: Active, contract_start_date: 2020-02-19, annual_revenue_potential: 3558986
customer_id: CUST00022, customer_name: Continental Supply Chain, customer_type: Contract, credit_terms_days: 15, primary_freight_type: Automotive, account_status: Active, contract_start_date: 2021-05-23, annual_revenue_potential: 3712034
customer_id: CUST00023, customer_name: Continental Industries, customer_type: Spot, credit_terms_days: 30, primary_freight_type: General, account_status: Active, contract_start_date: 2021-09-08, annual_revenue_potential: 2813302
customer_id: CUST00024, customer_name: XYZ Distribution, customer_type: Contract, credit_terms_days: 15, primary_freight_type: Electronics, account_status: Active, contract_start_date: 2021-05-05, annual_revenue_potential: 2119327
customer_id: CUST00025, customer_name: Pacific Retail, customer_type: Contract, credit_terms_days: 30, primary_freight_type: Food/Beverage, account_status: Inactive, contract_start_date: 2020-03-24, annual_revenue_potential: 4824000
customer_id: CUST00026, customer_name: ABC Supply Chain, customer_type: Dedicated, credit_terms_days: 30, primary_freight_type: Retail, account_status: Inactive, contract_start_date: 2020-10-14, annual_revenue_potential: 4677044
customer_id: CUST00027, customer_name: Superior Foods, customer_type: Spot, credit_terms_days: 30, primary_freight_type: Automotive, account_status: Active, contract_start_date: 2021-02-03, annual_revenue_potential: 1894559
customer_id: CUST00028, customer_name: First Group, customer_type: Contract, credit_terms_days: 15, primary_freight_type: Automotive, account_status: Active, contract_start_date: 2021-12-17, annual_revenue_potential: 3246257
customer_id: CUST00029, customer_name: Superior Distribution, customer_type: Dedicated, credit_terms_days: 30, primary_freight_type: Food/Beverage, account_status: Active, contract_start_date: 2021-07-14, annual_revenue_potential: 4715736
customer_id: CUST00030, customer_name: ABC Manufacturing, customer_type: Spot, credit_terms_days: 15, primary_freight_type: Electronics, account_status: Active, contract_start_date: 2021-03-25, annual_revenue_potential: 2231454
customer_id: CUST00031, customer_name: American Manufacturing, customer_type: Dedicated, credit_terms_days: 30, primary_freight_type: Automotive, account_status: Active, contract_start_date: 2020-05-13, annual_revenue_potential: 3119970
customer_id: CUST00032, customer_name: Continental Wholesale, customer_type: Dedicated, credit_terms_days: 45, primary_freight_type: Food/Beverage, account_status: Active, contract_start_date: 2021-09-01, annual_revenue_potential: 3895035
customer_id: CUST00033, customer_name: XYZ Foods, customer_type: Contract, credit_terms_days: 30, primary_freight_type: Consumer Goods, account_status: Active, contract_start_date: 2020-11-22, annual_revenue_potential: 3853900
customer_id: CUST00034, customer_name: Elite Retail, customer_type: Contract, credit_terms_days: 60, primary_freight_type: Consumer Goods, account_status: Active, contract_start_date: 2021-04-28, annual_revenue_potential: 3431037
customer_id: CUST00035, customer_name: United Distribution, customer_type: Spot, credit_terms_days: 15, primary_freight_type: Food/Beverage, account_status: Active, contract_start_date: 2021-12-23, annual_revenue_potential: 101641
customer_id: CUST00036, customer_name: National Retail, customer_type: Spot, credit_terms_days: 45, primary_freight_type: Retail, account_status: Active, contract_start_date: 2021-11-19, annual_revenue_potential: 390773
customer_id: CUST00037, customer_name: American Retail, customer_type: Spot, credit_terms_days: 15, primary_freight_type: Consumer Goods, account_status: Active, contract_start_date: 2020-05-16, annual_revenue_potential: 2486409
customer_id: CUST00038, customer_name: Continental Supply Chain, customer_type: Dedicated, credit_terms_days: 30, primary_freight_type: Food/Beverage, account_status: Active, contract_start_date: 2020-01-25, annual_revenue_potential: 236754
customer_id: CUST00039, customer_name: XYZ Wholesale, customer_type: Contract, credit_terms_days: 60, primary_freight_type: Food/Beverage, account_status: Active, contract_start_date: 2020-09-02, annual_revenue_potential: 4442022
customer_id: CUST00040, customer_name: ABC Corp, customer_type: Contract, credit_terms_days: 60, primary_freight_type: Consumer Goods, account_status: Active, contract_start_date: 2020-01-28, annual_revenue_potential: 1233181
customer_id: CUST00041, customer_name: XYZ Industries, customer_type: Dedicated, credit_terms_days: 60, primary_freight_type: Food/Beverage, account_status: Active, contract_start_date: 2020-05-01, annual_revenue_potential: 2632031
customer_id: CUST00042, customer_name: American Corp, customer_type: Dedicated, credit_terms_days: 30, primary_freight_type: Automotive, account_status: Active, contract_start_date: 2021-07-27, annual_revenue_potential: 155103
customer_id: CUST00043, customer_name: First Manufacturing, customer_type: Spot, credit_terms_days: 30, primary_freight_type: Food/Beverage, account_status: Inactive, contract_start_date: 2020-12-17, annual_revenue_potential: 2619383
customer_id: CUST00044, customer_name: American Logistics, customer_type: Contract, credit_terms_days: 60, primary_freight_type: Food/Beverage, account_status: Active, contract_start_date: 2021-10-02, annual_revenue_potential: 1961320
customer_id: CUST00045, customer_name: First Logistics, customer_type: Dedicated, credit_terms_days: 30, primary_freight_type: Food/Beverage, account_status: Active, contract_start_date: 2021-04-22, annual_revenue_potential: 1902064
customer_id: CUST00046, customer_name: First Wholesale, customer_type: Dedicated, credit_terms_days: 30, primary_freight_type: Food/Beverage, account_status: Active, contract_start_date: 2021-07-24, annual_revenue_potential: 2741611
customer_id: CUST00047, customer_name: Elite Industries, customer_type: Spot, credit_terms_days: 45, primary_freight_type: Electronics, account_status: Inactive, contract_start_date: 2020-08-08, annual_revenue_potential: 282044
customer_id: CUST00048, customer_name: First Manufacturing, customer_type: Spot, credit_terms_days: 30, primary_freight_type: Automotive, account_status: Active, contract_start_date: 2021-09-30, annual_revenue_potential: 2414896
customer_id: CUST00049, customer_name: Continental Corp, customer_type: Spot, credit_terms_days: 45, primary_freight_type: Food/Beverage, account_status: Active, contract_start_date: 2020-01-30, annual_revenue_potential: 4744463
customer_id: CUST00050, customer_name: Global Manufacturing, customer_type: Spot, credit_terms_days: 60, primary_freight_type: General, account_status: Active, contract_start_date: 2020-04-08, annual_revenue_potential: 4388856
customer_id: CUST00051, customer_name: XYZ Wholesale, customer_type: Contract, credit_terms_days: 15, primary_freight_type: General, account_status: Inactive, contract_start_date: 2021-01-20, annual_revenue_potential: 4766776
customer_id: CUST00052, customer_name: Metro Corp, customer_type: Contract, credit_terms_days: 30, primary_freight_type: General, account_status: Active, contract_start_date: 2020-04-01, annual_revenue_potential: 4887111
customer_id: CUST00053, customer_name: Elite Supply Chain, customer_type: Spot, credit_terms_days: 60, primary_freight_type: Consumer Goods, account_status: Active, contract_start_date: 2021-11-01, annual_revenue_potential: 4895027
customer_id: CUST00054, customer_name: First Wholesale, customer_type: Contract, credit_terms_days: 60, primary_freight_type: Consumer Goods, account_status: Active, contract_start_date: 2021-11-01, annual_revenue_potential: 1397841
customer_id: CUST00055, customer_name: National Corp, customer_type: Contract, credit_terms_days: 30, primary_freight_type: Retail, account_status: Active, contract_start_date: 2021-01-02, annual_revenue_potential: 890937
customer_id: CUST00056, customer_name: Continental Retail, customer_type: Dedicated, credit_terms_days: 15, primary_freight_type: Electronics, account_status: Active, contract_start_date: 2020-03-12, annual_revenue_potential: 416555
customer_id: CUST00057, customer_name: Premier Wholesale, customer_type: Contract, credit_terms_days: 15, primary_freight_type: General, account_status: Active, contract_start_date: 2021-07-28, annual_revenue_potential: 3961861
customer_id: CUST00058, customer_name: Superior Foods, customer_type: Contract, credit_terms_days: 30, primary_freight_type: Electronics, account_status: Active, contract_start_date: 2020-01-14, annual_revenue_potential: 3083456
customer_id: CUST00059, customer_name: American Manufacturing, customer_type: Spot, credit_terms_days: 60, primary_freight_type: General, account_status: Active, contract_start_date: 2020-07-01, annual_revenue_potential: 1409521
customer_id: CUST00060, customer_name: Global Wholesale, customer_type: Spot, credit_terms_days: 30, primary_freight_type: Retail, account_status: Active, contract_start_date: 2021-09-14, annual_revenue_potential: 1261052
customer_id: CUST00061, customer_name: Elite Group, customer_type: Spot, credit_terms_days: 15, primary_freight_type: Automotive, account_status: Active, contract_start_date: 2021-08-26, annual_revenue_potential: 2322881
customer_id: CUST00062, customer_name: Premier Group, customer_type: Dedicated, credit_terms_days: 30, primary_freight_type: Electronics, account_status: Inactive, contract_start_date: 2020-08-20, annual_revenue_potential: 3179314
customer_id: CUST00063, customer_name: Superior Group, customer_type: Dedicated, credit_terms_days: 60, primary_freight_type: Automotive, account_status: Active, contract_start_date: 2021-05-08, annual_revenue_potential: 4983476
customer_id: CUST00064, customer_name: Metro Retail, customer_type: Spot, credit_terms_days: 15, primary_freight_type: Retail, account_status: Active, contract_start_date: 2021-02-11, annual_revenue_potential: 2195951
customer_id: CUST00065, customer_name: United Retail, customer_type: Dedicated, credit_terms_days: 15, primary_freight_type: Electronics, account_status: Active, contract_start_date: 2020-06-09, annual_revenue_potential: 2054496
customer_id: CUST00066, customer_name: Elite Foods, customer_type: Dedicated, credit_terms_days: 15, primary_freight_type: Automotive, account_status: Active, contract_start_date: 2020-03-12, annual_revenue_potential: 2249529
customer_id: CUST00067, customer_name: Metro Supply Chain, customer_type: Contract, credit_terms_days: 60, primary_freight_type: Retail, account_status: Active, contract_start_date: 2021-01-11, annual_revenue_potential: 2619119
customer_id: CUST00068, customer_name: Metro Manufacturing, customer_type: Contract, credit_terms_days: 30, primary_freight_type: Food/Beverage, account_status: Active, contract_start_date: 2020-10-09, annual_revenue_potential: 870956
customer_id: CUST00069, customer_name: Continental Manufacturing, customer_type: Contract, credit_terms_days: 15, primary_freight_type: Electronics, account_status: Active, contract_start_date: 2021-06-18, annual_revenue_potential: 4885593
customer_id: CUST00070, customer_name: First Group, customer_type: Spot, credit_terms_days: 60, primary_freight_type: Automotive, account_status: Inactive, contract_start_date: 2021-12-11, annual_revenue_potential: 3453750
customer_id: CUST00071, customer_name: Continental Supply Chain, customer_type: Spot, credit_terms_days: 60, primary_freight_type: Retail, account_status: Active, contract_start_date: 2020-01-27, annual_revenue_potential: 4873662
customer_id: CUST00072, customer_name: Continental Distribution, customer_type: Spot, credit_terms_days: 45, primary_freight_type: Food/Beverage, account_status: Inactive, contract_start_date: 2020-12-11, annual_revenue_potential: 1923996
customer_id: CUST00073, customer_name: Pacific Supply Chain, customer_type: Dedicated, credit_terms_days: 15, primary_freight_type: Electronics, account_status: Active, contract_start_date: 2020-12-31, annual_revenue_potential: 747613
customer_id: CUST00074, customer_name: First Industries, customer_type: Contract, credit_terms_days: 60, primary_freight_type: Food/Beverage, account_status: Active, contract_start_date: 2021-08-17, annual_revenue_potential: 2823714
customer_id: CUST00075, customer_name: Elite Corp, customer_type: Contract, credit_terms_days: 30, primary_freight_type: General, account_status: Inactive, contract_start_date: 2021-04-20, annual_revenue_potential: 4147781
customer_id: CUST00076, customer_name: Metro Wholesale, customer_type: Spot, credit_terms_days: 60, primary_freight_type: Electronics, account_status: Active, contract_start_date: 2021-11-22, annual_revenue_potential: 1550411
customer_id: CUST00077, customer_name: Metro Group, customer_type: Spot, credit_terms_days: 60, primary_freight_type: Retail, account_status: Inactive, contract_start_date: 2020-08-23, annual_revenue_potential: 4195959
customer_id: CUST00078, customer_name: Premier Wholesale, customer_type: Spot, credit_terms_days: 45, primary_freight_type: Retail, account_status: Inactive, contract_start_date: 2020-01-09, annual_revenue_potential: 4933788
customer_id: CUST00079, customer_name: Pacific Logistics, customer_type: Spot, credit_terms_days: 15, primary_freight_type: Electronics, account_status: Active, contract_start_date: 2020-10-10, annual_revenue_potential: 899971
customer_id: CUST00080, customer_name: First Distribution, customer_type: Spot, credit_terms_days: 60, primary_freight_type: General, account_status: Inactive, contract_start_date: 2020-06-08, annual_revenue_potential: 2619881
customer_id: CUST00081, customer_name: ABC Wholesale, customer_type: Spot, credit_terms_days: 30, primary_freight_type: Electronics, account_status: Active, contract_start_date: 2021-03-06, annual_revenue_potential: 413495
customer_id: CUST00082, customer_name: Global Logistics, customer_type: Spot, credit_terms_days: 45, primary_freight_type: Automotive, account_status: Inactive, contract_start_date: 2020-06-25, annual_revenue_potential: 4934218
customer_id: CUST00083, customer_name: Metro Logistics, customer_type: Contract, credit_terms_days: 60, primary_freight_type: Retail, account_status: Inactive, contract_start_date: 2020-01-19, annual_revenue_potential: 3300640
customer_id: CUST00084, customer_name: United Foods, customer_type: Dedicated, credit_terms_days: 30, primary_freight_type: Consumer Goods, account_status: Active, contract_start_date: 2020-08-18, annual_revenue_potential: 758316
customer_id: CUST00085, customer_name: Pacific Manufacturing, customer_type: Dedicated, credit_terms_days: 15, primary_freight_type: Food/Beverage, account_status: Active, contract_start_date: 2021-06-21, annual_revenue_potential: 569113
customer_id: CUST00086, customer_name: Premier Foods, customer_type: Contract, credit_terms_days: 45, primary_freight_type: Retail, account_status: Active, contract_start_date: 2020-05-31, annual_revenue_potential: 2905063
customer_id: CUST00087, customer_name: Global Logistics, customer_type: Contract, credit_terms_days: 60, primary_freight_type: General, account_status: Inactive, contract_start_date: 2021-06-24, annual_revenue_potential: 3018650
customer_id: CUST00088, customer_name: Continental Foods, customer_type: Dedicated, credit_terms_days: 45, primary_freight_type: Consumer Goods, account_status: Active, contract_start_date: 2020-06-24, annual_revenue_potential: 3743209
customer_id: CUST00089, customer_name: United Group, customer_type: Spot, credit_terms_days: 30, primary_freight_type: Electronics, account_status: Active, contract_start_date: 2021-01-10, annual_revenue_potential: 3594037
customer_id: CUST00090, customer_name: ABC Supply Chain, customer_type: Dedicated, credit_terms_days: 15, primary_freight_type: Retail, account_status: Active, contract_start_date: 2021-02-04, annual_revenue_potential: 1111167
customer_id: CUST00091, customer_name: American Distribution, customer_type: Contract, credit_terms_days: 15, primary_freight_type: Automotive, account_status: Active, contract_start_date: 2020-09-09, annual_revenue_potential: 2001845
customer_id: CUST00092, customer_name: Elite Group, customer_type: Dedicated, credit_terms_days: 15, primary_freight_type: Consumer Goods, account_status: Active, contract_start_date: 2021-03-26, annual_revenue_potential: 195918
customer_id: CUST00093, customer_name: United Group, customer_type: Spot, credit_terms_days: 15, primary_freight_type: General, account_status: Active, contract_start_date: 2020-04-28, annual_revenue_potential: 3308533
customer_id: CUST00094, customer_name: National Retail, customer_type: Contract, credit_terms_days: 60, primary_freight_type: General, account_status: Active, contract_start_date: 2020-06-13, annual_revenue_potential: 554058
customer_id: CUST00095, customer_name: First Foods, customer_type: Contract, credit_terms_days: 30, primary_freight_type: Consumer Goods, account_status: Active, contract_start_date: 2021-07-21, annual_revenue_potential: 2656708
customer_id: CUST00096, customer_name: Continental Logistics, customer_type: Dedicated, credit_terms_days: 45, primary_freight_type: Food/Beverage, account_status: Active, contract_start_date: 2021-10-23, annual_revenue_potential: 4498846
customer_id: CUST00097, customer_name: National Wholesale, customer_type: Contract, credit_terms_days: 60, primary_freight_type: Retail, account_status: Active, contract_start_date: 2020-07-07, annual_revenue_potential: 445461
customer_id: CUST00098, customer_name: National Supply Chain, customer_type: Dedicated, credit_terms_days: 45, primary_freight_type: Electronics, account_status: Active, contract_start_date: 2021-07-27, annual_revenue_potential: 2778621
customer_id: CUST00099, customer_name: First Logistics, customer_type: Dedicated, credit_terms_days: 15, primary_freight_type: General, account_status: Inactive, contract_start_date: 2020-09-28, annual_revenue_potential: 4629258
customer_id: CUST00100, customer_name: ABC Foods, customer_type: Contract, credit_terms_days: 30, primary_freight_type: Automotive, account_status: Active, contract_start_date: 2021-03-05, annual_revenue_potential: 4838832
customer_id: CUST00101, customer_name: United Corp, customer_type: Contract, credit_terms_days: 60, primary_freight_type: Automotive, account_status: Active, contract_start_date: 2021-04-07, annual_revenue_potential: 1354768
customer_id: CUST00102, customer_name: Pacific Industries, customer_type: Dedicated, credit_terms_days: 45, primary_freight_type: Electronics, account_status: Active, contract_start_date: 2020-06-26, annual_revenue_potential: 2841662
customer_id: CUST00103, customer_name: United Supply Chain, customer_type: Contract, credit_terms_days: 45, primary_freight_type: Automotive, account_status: Active, contract_start_date: 2020-12-22, annual_revenue_potential: 4314450
customer_id: CUST00104, customer_name: Pacific Corp, customer_type: Contract, credit_terms_days: 60, primary_freight_type: Food/Beverage, account_status: Inactive, contract_start_date: 2020-09-24, annual_revenue_potential: 1952180
customer_id: CUST00105, customer_name: First Corp, customer_type: Spot, credit_terms_days: 45, primary_freight_type: Electronics, account_status: Active, contract_start_date: 2022-01-01, annual_revenue_potential: 1385113
customer_id: CUST00106, customer_name: United Retail, customer_type: Contract, credit_terms_days: 45, primary_freight_type: Automotive, account_status: Active, contract_start_date: 2020-03-19, annual_revenue_potential: 523790
customer_id: CUST00107, customer_name: Premier Industries, customer_type: Dedicated, credit_terms_days: 60, primary_freight_type: Food/Beverage, account_status: Active, contract_start_date: 2020-08-01, annual_revenue_potential: 3395738
customer_id: CUST00108, customer_name: Global Distribution, customer_type: Dedicated, credit_terms_days: 30, primary_freight_type: Automotive, account_status: Active, contract_start_date: 2020-12-09, annual_revenue_potential: 3838099
customer_id: CUST00109, customer_name: Global Manufacturing, customer_type: Contract, credit_terms_days: 60, primary_freight_type: Retail, account_status: Active, contract_start_date: 2021-06-26, annual_revenue_potential: 4925587
customer_id: CUST00110, customer_name: Continental Group, customer_type: Spot, credit_terms_days: 60, primary_freight_type: Electronics, account_status: Active, contract_start_date: 2021-12-13, annual_revenue_potential: 4333976
customer_id: CUST00111, customer_name: XYZ Wholesale, customer_type: Contract, credit_terms_days: 30, primary_freight_type: Automotive, account_status: Active, contract_start_date: 2020-04-07, annual_revenue_potential: 855670
customer_id: CUST00112, customer_name: ABC Wholesale, customer_type: Contract, credit_terms_days: 45, primary_freight_type: Automotive, account_status: Inactive, contract_start_date: 2020-12-25, annual_revenue_potential: 1962989
customer_id: CUST00113, customer_name: Premier Group, customer_type: Spot, credit_terms_days: 60, primary_freight_type: Food/Beverage, account_status: Active, contract_start_date: 2020-04-06, annual_revenue_potential: 3723339
customer_id: CUST00114, customer_name: Premier Manufacturing, customer_type: Contract, credit_terms_days: 45, primary_freight_type: Retail, account_status: Active, contract_start_date: 2021-05-02, annual_revenue_potential: 2530876
customer_id: CUST00115, customer_name: Global Corp, customer_type: Dedicated, credit_terms_days: 45, primary_freight_type: Retail, account_status: Inactive, contract_start_date: 2021-02-07, annual_revenue_potential: 3407816
customer_id: CUST00116, customer_name: Premier Logistics, customer_type: Spot, credit_terms_days: 45, primary_freight_type: Food/Beverage, account_status: Active, contract_start_date: 2021-10-29, annual_revenue_potential: 1341618
customer_id: CUST00117, customer_name: Superior Industries, customer_type: Spot, credit_terms_days: 60, primary_freight_type: Retail, account_status: Active, contract_start_date: 2020-02-27, annual_revenue_potential: 1208882
customer_id: CUST00118, customer_name: Continental Manufacturing, customer_type: Dedicated, credit_terms_days: 30, primary_freight_type: Consumer Goods, account_status: Active, contract_start_date: 2020-06-29, annual_revenue_potential: 2919983
customer_id: CUST00119, customer_name: ABC Manufacturing, customer_type: Contract, credit_terms_days: 15, primary_freight_type: Automotive, account_status: Inactive, contract_start_date: 2020-12-01, annual_revenue_potential: 792438
customer_id: CUST00120, customer_name: Superior Corp, customer_type: Contract, credit_terms_days: 30, primary_freight_type: Automotive, account_status: Active, contract_start_date: 2021-06-21, annual_revenue_potential: 4091758
customer_id: CUST00121, customer_name: ABC Corp, customer_type: Spot, credit_terms_days: 60, primary_freight_type: Retail, account_status: Active, contract_start_date: 2020-07-14, annual_revenue_potential: 4893591
customer_id: CUST00122, customer_name: Metro Foods, customer_type: Dedicated, credit_terms_days: 30, primary_freight_type: Automotive, account_status: Active, contract_start_date: 2020-02-02, annual_revenue_potential: 513651
customer_id: CUST00123, customer_name: American Corp, customer_type: Spot, credit_terms_days: 15, primary_freight_type: Retail, account_status: Active, contract_start_date: 2020-08-10, annual_revenue_potential: 4698235
customer_id: CUST00124, customer_name: First Supply Chain, customer_type: Contract, credit_terms_days: 30, primary_freight_type: Food/Beverage, account_status: Active, contract_start_date: 2020-06-16, annual_revenue_potential: 3448659
customer_id: CUST00125, customer_name: XYZ Supply Chain, customer_type: Contract, credit_terms_days: 60, primary_freight_type: Electronics, account_status: Active, contract_start_date: 2021-07-28, annual_revenue_potential: 2302495
customer_id: CUST00126, customer_name: First Retail, customer_type: Dedicated, credit_terms_days: 45, primary_freight_type: Food/Beverage, account_status: Active, contract_start_date: 2020-04-14, annual_revenue_potential: 813694
customer_id: CUST00127, customer_name: Global Group, customer_type: Spot, credit_terms_days: 15, primary_freight_type: Electronics, account_status: Active, contract_start_date: 2021-03-18, annual_revenue_potential: 3443087
customer_id: CUST00128, customer_name: XYZ Group, customer_type: Spot, credit_terms_days: 30, primary_freight_type: Consumer Goods, account_status: Active, contract_start_date: 2021-02-05, annual_revenue_potential: 4309597
customer_id: CUST00129, customer_name: Global Wholesale, customer_type: Contract, credit_terms_days: 60, primary_freight_type: Food/Beverage, account_status: Active, contract_start_date: 2020-11-08, annual_revenue_potential: 3744775
customer_id: CUST00130, customer_name: First Group, customer_type: Dedicated, credit_terms_days: 15, primary_freight_type: General, account_status: Active, contract_start_date: 2020-03-16, annual_revenue_potential: 1193666
customer_id: CUST00131, customer_name: National Distribution, customer_type: Contract, credit_terms_days: 15, primary_freight_type: Consumer Goods, account_status: Inactive, contract_start_date: 2021-02-06, annual_revenue_potential: 1231377
customer_id: CUST00132, customer_name: Superior Retail, customer_type: Dedicated, credit_terms_days: 30, primary_freight_type: Automotive, account_status: Inactive, contract_start_date: 2021-09-10, annual_revenue_potential: 4134270
customer_id: CUST00133, customer_name: United Supply Chain, customer_type: Contract, credit_terms_days: 60, primary_freight_type: Food/Beverage, account_status: Active, contract_start_date: 2021-09-25, annual_revenue_potential: 4791716
customer_id: CUST00134, customer_name: Superior Supply Chain, customer_type: Contract, credit_terms_days: 60, primary_freight_type: Electronics, account_status: Active, contract_start_date: 2020-07-15, annual_revenue_potential: 1761854
customer_id: CUST00135, customer_name: Premier Retail, customer_type: Dedicated, credit_terms_days: 15, primary_freight_type: Retail, account_status: Inactive, contract_start_date: 2020-02-27, annual_revenue_potential: 4192475
customer_id: CUST00136, customer_name: Pacific Corp, customer_type: Contract, credit_terms_days: 15, primary_freight_type: Retail, account_status: Active, contract_start_date: 2021-10-25, annual_revenue_potential: 3416174
customer_id: CUST00137, customer_name: First Industries, customer_type: Dedicated, credit_terms_days: 45, primary_freight_type: Food/Beverage, account_status: Active, contract_start_date: 2021-11-18, annual_revenue_potential: 4892669
customer_id: CUST00138, customer_name: First Logistics, customer_type: Spot, credit_terms_days: 30, primary_freight_type: Food/Beverage, account_status: Active, contract_start_date: 2021-08-22, annual_revenue_potential: 1745000
customer_id: CUST00139, customer_name: XYZ Supply Chain, customer_type: Dedicated, credit_terms_days: 45, primary_freight_type: Consumer Goods, account_status: Active, contract_start_date: 2021-07-03, annual_revenue_potential: 4807415
customer_id: CUST00140, customer_name: American Retail, customer_type: Dedicated, credit_terms_days: 15, primary_freight_type: Food/Beverage, account_status: Active, contract_start_date: 2021-11-30, annual_revenue_potential: 4497709
customer_id: CUST00141, customer_name: Metro Corp, customer_type: Contract, credit_terms_days: 15, primary_freight_type: Retail, account_status: Active, contract_start_date: 2021-06-09, annual_revenue_potential: 2165659
customer_id: CUST00142, customer_name: Elite Retail, customer_type: Contract, credit_terms_days: 60, primary_freight_type: General, account_status: Active, contract_start_date: 2021-09-14, annual_revenue_potential: 2132686
customer_id: CUST00143, customer_name: ABC Supply Chain, customer_type: Contract, credit_terms_days: 60, primary_freight_type: Food/Beverage, account_status: Active, contract_start_date: 2020-08-22, annual_revenue_potential: 700993
customer_id: CUST00144, customer_name: National Distribution, customer_type: Dedicated, credit_terms_days: 45, primary_freight_type: Retail, account_status: Active, contract_start_date: 2021-06-19, annual_revenue_potential: 2333526
customer_id: CUST00145, customer_name: National Foods, customer_type: Contract, credit_terms_days: 15, primary_freight_type: Retail, account_status: Inactive, contract_start_date: 2021-09-22, annual_revenue_potential: 3707652
customer_id: CUST00146, customer_name: First Foods, customer_type: Contract, credit_terms_days: 30, primary_freight_type: Food/Beverage, account_status: Active, contract_start_date: 2021-11-30, annual_revenue_potential: 2812973
